Table of 159: [159, 318, 477, 636, 795, 954, 1113, 1272, 1431, 1590] 
Table of 357: [357, 714, 1071, 1428, 1785, 2142, 2499, 2856, 3213, 3570] 
Table of 456: [456, 912, 1368, 1824, 2280, 2736, 3192, 3648, 4104, 4560] 
Table of 852: [852, 1704, 2556, 3408, 4260, 5112, 5964, 6816, 7668, 8520] 
Table of 147: [147, 294, 441, 588, 735, 882, 1029, 1176, 1323, 1470] 
Table of 258: [258, 516, 774, 1032, 1290, 1548, 1806, 2064, 2322, 2580] 
Table of 369: [369, 738, 1107, 1476, 1845, 2214, 2583, 2952, 3321, 3690] 
Table of 963: [963, 1926, 2889, 3852, 4815, 5778, 6741, 7704, 8667, 9630] 
Table of 852: [852, 1704, 2556, 3408, 4260, 5112, 5964, 6816, 7668, 8520] 
Table of 741: [741, 1482, 2223, 2964, 3705, 4446, 5187, 5928, 6669, 7410] 
Table of 753: [753, 1506, 2259, 3012, 3765, 4518, 5271, 6024, 6777, 7530] 
Table of 951: [951, 1902, 2853, 3804, 4755, 5706, 6657, 7608, 8559, 9510] 
Table of 258: [258, 516, 774, 1032, 1290, 1548, 1806, 2064, 2322, 2580] 
Table of 654: [654, 1308, 1962, 2616, 3270, 3924, 4578, 5232, 5886, 6540] 
Table of 357: [357, 714, 1071, 1428, 1785, 2142, 2499, 2856, 3213, 3570] 
Table of 654: [654, 1308, 1962, 2616, 3270, 3924, 4578, 5232, 5886, 6540] 
